,forecast
2024-08-10,274425.76260504185
2024-08-11,274425.76260504185
2024-08-12,274425.76260504185
2024-08-13,274425.76260504185
2024-08-14,274425.76260504185
2024-08-15,274425.76260504185
2024-08-16,274425.76260504185
2024-08-17,274425.76260504185
2024-08-18,274425.76260504185
2024-08-19,274425.76260504185
2024-08-20,274425.76260504185
2024-08-21,274425.76260504185
2024-08-22,274425.76260504185
2024-08-23,274425.76260504185
2024-08-24,274425.76260504185
2024-08-25,274425.76260504185
2024-08-26,274425.76260504185
2024-08-27,274425.76260504185
2024-08-28,274425.76260504185
2024-08-29,274425.76260504185
2024-08-30,274425.76260504185
2024-08-31,274425.76260504185
2024-09-01,274425.76260504185
2024-09-02,274425.76260504185
2024-09-03,274425.76260504185
2024-09-04,274425.76260504185
2024-09-05,274425.76260504185
2024-09-06,274425.76260504185
2024-09-07,274425.76260504185
2024-09-08,274425.76260504185
